"E5100A REV3.14"
"DATE: Jun 25 2004"



"CHANNEL: 2"
"MEASURE TYPE: AR"
"FORMAT TYPE: LINMP"
"NUMBER of POINTS: 1601"
"SWEEP TIME:  3.458 s"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 500 Hz"

"Frequency"	"Main Array"	"Sub Array"
1.00000000000E+04	8.089693E-01	-1.681547E+02
1.18687500000E+04	6.687753E-01	-1.276780E+02
1.37375000000E+04	7.708322E-01	-1.196601E+02
1.56062500000E+04	5.392199E-01	-1.077350E+02
1.74750000000E+04	7.289435E-01	-9.375270E+01
1.93437500000E+04	5.212541E-01	-9.170668E+01
2.12125000000E+04	6.037664E-01	-7.957122E+01
2.30812500000E+04	6.692566E-01	-8.182308E+01
2.49500000000E+04	7.033946E-01	-8.133113E+01
2.68187500000E+04	6.784332E-01	-7.887250E+01
2.86875000000E+04	7.254342E-01	-8.241700E+01
3.05562500000E+04	7.045130E-01	-8.341331E+01
3.24250000000E+04	8.093826E-01	-7.956579E+01
3.42937500000E+04	8.615376E-01	-7.813289E+01
3.61625000000E+04	9.007881E-01	-7.948622E+01
3.80312500000E+04	9.610143E-01	-8.323389E+01
3.99000000000E+04	8.931555E-01	-8.124036E+01
4.17687500000E+04	9.848269E-01	-8.186177E+01
4.36375000000E+04	1.053871E+00	-8.441636E+01
4.55062500000E+04	1.065438E+00	-8.239999E+01
4.73750000000E+04	1.103951E+00	-8.169464E+01
4.92437500000E+04	1.086539E+00	-8.291871E+01
5.11125000000E+04	1.166874E+00	-8.500303E+01
5.29812500000E+04	1.186421E+00	-8.353031E+01
5.48500000000E+04	1.275574E+00	-8.612220E+01
5.67187500000E+04	1.284409E+00	-8.603896E+01
5.85875000000E+04	1.335145E+00	-8.626193E+01
6.04562500000E+04	1.395902E+00	-8.636662E+01
6.23250000000E+04	1.398926E+00	-8.577930E+01
6.41937500000E+04	1.480991E+00	-8.496508E+01
6.60625000000E+04	1.497301E+00	-8.517823E+01
6.79312500000E+04	1.547976E+00	-8.587344E+01
6.98000000000E+04	1.598065E+00	-8.552136E+01
7.16687500000E+04	1.633725E+00	-8.686157E+01
7.35375000000E+04	1.672141E+00	-8.634164E+01
7.54062500000E+04	1.718896E+00	-8.650520E+01
7.72750000000E+04	1.798637E+00	-8.716895E+01
7.91437500000E+04	1.831181E+00	-8.579893E+01
8.10125000000E+04	1.842237E+00	-8.678163E+01
8.28812500000E+04	1.904837E+00	-8.759400E+01
8.47500000000E+04	1.943334E+00	-8.703173E+01
8.66187500000E+04	1.974075E+00	-8.785050E+01
8.84875000000E+04	2.020985E+00	-8.763638E+01
9.03562500000E+04	2.071971E+00	-8.735551E+01
9.22250000000E+04	2.106394E+00	-8.793171E+01
9.40937500000E+04	2.174681E+00	-8.786401E+01
9.59625000000E+04	2.217787E+00	-8.769257E+01
9.78312500000E+04	2.230797E+00	-8.783068E+01
9.97000000000E+04	2.277637E+00	-8.832590E+01
1.01568750000E+05	2.330505E+00	-8.736861E+01
1.03437500000E+05	2.371769E+00	-8.776994E+01
1.05306250000E+05	2.423518E+00	-8.795252E+01
1.07175000000E+05	2.447253E+00	-8.805232E+01
1.09043750000E+05	2.486732E+00	-8.815186E+01
1.10912500000E+05	2.527679E+00	-8.818288E+01
1.12781250000E+05	2.579151E+00	-8.811548E+01
1.14650000000E+05	2.599671E+00	-8.821716E+01
1.16518750000E+05	2.638352E+00	-8.844400E+01
1.18387500000E+05	2.713975E+00	-8.789421E+01
1.20256250000E+05	2.749174E+00	-8.877341E+01
1.22125000000E+05	2.785238E+00	-8.859167E+01
1.23993750000E+05	2.841030E+00	-8.826488E+01
1.25862500000E+05	2.866572E+00	-8.836681E+01
1.27731250000E+05	2.904011E+00	-8.837358E+01
1.29600000000E+05	2.961146E+00	-8.846396E+01
1.31468750000E+05	2.961365E+00	-8.840136E+01
1.33337500000E+05	3.021143E+00	-8.876273E+01
1.35206250000E+05	3.069797E+00	-8.870144E+01
1.37075000000E+05	3.114188E+00	-8.830874E+01
1.38943750000E+05	3.139888E+00	-8.889214E+01
1.40812500000E+05	3.190130E+00	-8.889227E+01
1.42681250000E+05	3.256953E+00	-8.878986E+01
1.44550000000E+05	3.284622E+00	-8.856974E+01
1.46418750000E+05	3.321417E+00	-8.881019E+01
1.48287500000E+05	3.379689E+00	-8.869248E+01
1.50156250000E+05	3.430493E+00	-8.911392E+01
1.52025000000E+05	3.463361E+00	-8.894073E+01
1.53893750000E+05	3.490159E+00	-8.879988E+01
1.55762500000E+05	3.532817E+00	-8.903503E+01
1.57631250000E+05	3.596604E+00	-8.917543E+01
1.59500000000E+05	3.621987E+00	-8.886137E+01
1.61368750000E+05	3.652699E+00	-8.902114E+01
1.63237500000E+05	3.691453E+00	-8.872948E+01
1.65106250000E+05	3.740059E+00	-8.902390E+01
1.66975000000E+05	3.778617E+00	-8.904948E+01
1.68843750000E+05	3.841014E+00	-8.874027E+01
1.70712500000E+05	3.869584E+00	-8.894059E+01
1.72581250000E+05	3.931027E+00	-8.892826E+01
1.74450000000E+05	3.957861E+00	-8.869698E+01
1.76318750000E+05	4.001610E+00	-8.910976E+01
1.78187500000E+05	4.054987E+00	-8.889280E+01
1.80056250000E+05	4.078284E+00	-8.894654E+01
1.81925000000E+05	4.125040E+00	-8.897751E+01
1.83793750000E+05	4.172311E+00	-8.923049E+01
1.85662500000E+05	4.198997E+00	-8.900939E+01
1.87531250000E+05	4.257964E+00	-8.909653E+01
1.89400000000E+05	4.275109E+00	-8.911346E+01
1.91268750000E+05	4.333207E+00	-8.887557E+01
1.93137500000E+05	4.404241E+00	-8.909742E+01
1.95006250000E+05	4.419309E+00	-8.908960E+01
1.96875000000E+05	4.472440E+00	-8.879484E+01
1.98743750000E+05	4.513163E+00	-8.901663E+01
2.00612500000E+05	4.549221E+00	-8.922339E+01
2.02481250000E+05	4.603087E+00	-8.919141E+01
2.04350000000E+05	4.637374E+00	-8.941389E+01
2.06218750000E+05	4.674621E+00	-8.917463E+01
2.08087500000E+05	4.719415E+00	-8.917987E+01
2.09956250000E+05	4.765830E+00	-8.920230E+01
2.11825000000E+05	4.795659E+00	-8.907931E+01
2.13693750000E+05	4.863091E+00	-8.914695E+01
2.15562500000E+05	4.907155E+00	-8.923188E+01
2.17431250000E+05	4.931276E+00	-8.942194E+01
2.19300000000E+05	4.962368E+00	-8.931989E+01
2.21168750000E+05	5.017818E+00	-8.912164E+01
2.23037500000E+05	5.067777E+00	-8.937830E+01
2.24906250000E+05	5.091282E+00	-8.930966E+01
2.26775000000E+05	5.122560E+00	-8.918754E+01
2.28643750000E+05	5.180289E+00	-8.931782E+01
2.30512500000E+05	5.232453E+00	-8.927003E+01
2.32381250000E+05	5.299047E+00	-8.910470E+01
2.34250000000E+05	5.313097E+00	-8.929339E+01
2.36118750000E+05	5.353524E+00	-8.940893E+01
2.37987500000E+05	5.388957E+00	-8.920595E+01
2.39856250000E+05	5.441667E+00	-8.923366E+01
2.41725000000E+05	5.483500E+00	-8.939533E+01
2.43593750000E+05	5.519570E+00	-8.923969E+01
2.45462500000E+05	5.565840E+00	-8.936845E+01
2.47331250000E+05	5.602766E+00	-8.932822E+01
2.49200000000E+05	5.640131E+00	-8.945354E+01
2.51068750000E+05	5.688382E+00	-8.933241E+01
2.52937500000E+05	5.749511E+00	-8.932767E+01
2.54806250000E+05	5.780214E+00	-8.934647E+01
2.56675000000E+05	5.827835E+00	-8.939597E+01
2.58543750000E+05	5.864022E+00	-8.941888E+01
2.60412500000E+05	5.893359E+00	-8.945558E+01
2.62281250000E+05	5.952528E+00	-8.936980E+01
2.64150000000E+05	5.973671E+00	-8.940090E+01
2.66018750000E+05	6.030496E+00	-8.944023E+01
2.67887500000E+05	6.081112E+00	-8.937205E+01
2.69756250000E+05	6.109303E+00	-8.927267E+01
2.71625000000E+05	6.170249E+00	-8.929185E+01
2.73493750000E+05	6.188640E+00	-8.950985E+01
2.75362500000E+05	6.248638E+00	-8.925560E+01
2.77231250000E+05	6.294253E+00	-8.927019E+01
2.79100000000E+05	6.325224E+00	-8.947741E+01
2.80968750000E+05	6.381053E+00	-8.939677E+01
2.82837500000E+05	6.411054E+00	-8.936086E+01
2.84706250000E+05	6.457520E+00	-8.936778E+01
2.86575000000E+05	6.490635E+00	-8.948696E+01
2.88443750000E+05	6.528887E+00	-8.939224E+01
2.90312500000E+05	6.578185E+00	-8.947993E+01
2.92181250000E+05	6.609624E+00	-8.936429E+01
2.94050000000E+05	6.659619E+00	-8.932143E+01
2.95918750000E+05	6.704703E+00	-8.925486E+01
2.97787500000E+05	6.746668E+00	-8.934918E+01
2.99656250000E+05	6.808716E+00	-8.941512E+01
3.01525000000E+05	6.841921E+00	-8.949412E+01
3.03393750000E+05	6.883411E+00	-8.948186E+01
3.05262500000E+05	6.924047E+00	-8.932505E+01
3.07131250000E+05	6.975244E+00	-8.933855E+01
3.09000000000E+05	7.000718E+00	-8.937548E+01
3.10868750000E+05	7.039447E+00	-8.949826E+01
3.12737500000E+05	7.081399E+00	-8.954454E+01
3.14606250000E+05	7.141333E+00	-8.945735E+01
3.16475000000E+05	7.184331E+00	-8.947764E+01
3.18343750000E+05	7.215799E+00	-8.930938E+01
3.20212500000E+05	7.278137E+00	-8.931727E+01
3.22081250000E+05	7.310457E+00	-8.932373E+01
3.23950000000E+05	7.363073E+00	-8.938037E+01
3.25818750000E+05	7.397908E+00	-8.944964E+01
3.27687500000E+05	7.435084E+00	-8.923999E+01
3.29556250000E+05	7.454189E+00	-8.940117E+01
3.31425000000E+05	7.526999E+00	-8.958025E+01
3.33293750000E+05	7.558062E+00	-8.943656E+01
3.35162500000E+05	7.629942E+00	-8.966728E+01
3.37031250000E+05	7.672145E+00	-8.963668E+01
3.38900000000E+05	7.722166E+00	-8.963773E+01
3.40768750000E+05	7.750607E+00	-8.965894E+01
3.42637500000E+05	7.812521E+00	-8.960168E+01
3.44506250000E+05	7.842607E+00	-8.950726E+01
3.46375000000E+05	7.892421E+00	-8.968684E+01
3.48243750000E+05	7.931986E+00	-8.961561E+01
3.50112500000E+05	7.999321E+00	-8.968678E+01
3.51981250000E+05	8.012238E+00	-8.950077E+01
3.53850000000E+05	8.078129E+00	-8.961191E+01
3.55718750000E+05	8.100895E+00	-8.958721E+01
3.57587500000E+05	8.144819E+00	-8.958505E+01
3.59456250000E+05	8.198136E+00	-8.948056E+01
3.61325000000E+05	8.223427E+00	-8.966793E+01
3.63193750000E+05	8.268942E+00	-8.968011E+01
3.65062500000E+05	8.318331E+00	-8.951414E+01
3.66931250000E+05	8.350498E+00	-8.954899E+01
3.68800000000E+05	8.397014E+00	-8.948838E+01
3.70668750000E+05	8.448341E+00	-8.959790E+01
3.72537500000E+05	8.473534E+00	-8.959972E+01
3.74406250000E+05	8.526241E+00	-8.969392E+01
3.76275000000E+05	8.574552E+00	-8.962162E+01
3.78143750000E+05	8.629822E+00	-8.959952E+01
3.80012500000E+05	8.657259E+00	-8.966243E+01
3.81881250000E+05	8.704446E+00	-8.963134E+01
3.83750000000E+05	8.740195E+00	-8.956274E+01
3.85618750000E+05	8.801103E+00	-8.949879E+01
3.87487500000E+05	8.816697E+00	-8.959295E+01
3.89356250000E+05	8.882864E+00	-8.955465E+01
3.91225000000E+05	8.906524E+00	-8.956828E+01
3.93093750000E+05	8.962204E+00	-8.960291E+01
3.94962500000E+05	8.990987E+00	-8.955402E+01
3.96831250000E+05	9.029393E+00	-8.952361E+01
3.98700000000E+05	9.078564E+00	-8.959770E+01
4.00568750000E+05	9.111193E+00	-8.959456E+01
4.02437500000E+05	9.182387E+00	-8.960182E+01
4.04306250000E+05	9.215544E+00	-8.953929E+01
4.06175000000E+05	9.258520E+00	-8.965515E+01
4.08043750000E+05	9.285574E+00	-8.956906E+01
4.09912500000E+05	9.343407E+00	-8.968726E+01
4.11781250000E+05	9.373282E+00	-8.959988E+01
4.13650000000E+05	9.416286E+00	-8.969265E+01
4.15518750000E+05	9.459123E+00	-8.956076E+01
4.17387500000E+05	9.520812E+00	-8.958676E+01
4.19256250000E+05	9.538713E+00	-8.970052E+01
4.21125000000E+05	9.594454E+00	-8.968298E+01
4.22993750000E+05	9.623622E+00	-8.963814E+01
4.24862500000E+05	9.672103E+00	-8.955537E+01
4.26731250000E+05	9.701095E+00	-8.956930E+01
4.28600000000E+05	9.787436E+00	-8.970074E+01
4.30468750000E+05	9.809033E+00	-8.970065E+01
4.32337500000E+05	9.859421E+00	-8.968142E+01
4.34206250000E+05	9.887512E+00	-8.964516E+01
4.36075000000E+05	9.936605E+00	-8.971543E+01
4.37943750000E+05	9.973060E+00	-8.955684E+01
4.39812500000E+05	1.000883E+01	-8.963298E+01
4.41681250000E+05	1.005613E+01	-8.965311E+01
4.43550000000E+05	1.010378E+01	-8.963926E+01
4.45418750000E+05	1.014275E+01	-8.957209E+01
4.47287500000E+05	1.019485E+01	-8.972005E+01
4.49156250000E+05	1.022617E+01	-8.960490E+01
4.51025000000E+05	1.025322E+01	-8.968520E+01
4.52893750000E+05	1.034614E+01	-8.958569E+01
4.54762500000E+05	1.037325E+01	-8.964948E+01
4.56631250000E+05	1.039358E+01	-8.957568E+01
4.58500000000E+05	1.045845E+01	-8.956391E+01
4.60368750000E+05	1.048134E+01	-8.964133E+01
4.62237500000E+05	1.053026E+01	-8.954404E+01
4.64106250000E+05	1.057787E+01	-8.968330E+01
4.65975000000E+05	1.062387E+01	-8.974184E+01
4.67843750000E+05	1.065529E+01	-8.973788E+01
4.69712500000E+05	1.069875E+01	-8.959545E+01
4.71581250000E+05	1.076127E+01	-8.963776E+01
4.73450000000E+05	1.078676E+01	-8.962255E+01
4.75318750000E+05	1.083080E+01	-8.972025E+01
4.77187500000E+05	1.088546E+01	-8.970901E+01
4.79056250000E+05	1.090893E+01	-8.964421E+01
4.80925000000E+05	1.096030E+01	-8.966452E+01
4.82793750000E+05	1.100419E+01	-8.965175E+01
4.84662500000E+05	1.103346E+01	-8.975565E+01
4.86531250000E+05	1.106712E+01	-8.971961E+01
4.88400000000E+05	1.111482E+01	-8.974052E+01
4.90268750000E+05	1.117284E+01	-8.978788E+01
4.92137500000E+05	1.120556E+01	-8.963940E+01
4.94006250000E+05	1.125239E+01	-8.969323E+01
4.95875000000E+05	1.129983E+01	-8.969585E+01
4.97743750000E+05	1.134589E+01	-8.965900E+01
4.99612500000E+05	1.137722E+01	-8.964581E+01
5.01481250000E+05	1.144766E+01	-8.971577E+01
5.03350000000E+05	1.145868E+01	-8.975757E+01
5.05218750000E+05	1.151391E+01	-8.973768E+01
5.07087500000E+05	1.156797E+01	-8.975807E+01
5.08956250000E+05	1.159252E+01	-8.978612E+01
5.10825000000E+05	1.164570E+01	-8.961145E+01
5.12693750000E+05	1.167233E+01	-8.971424E+01
5.14562500000E+05	1.173915E+01	-8.964915E+01
5.16431250000E+05	1.176866E+01	-8.970460E+01
5.18300000000E+05	1.180697E+01	-8.973914E+01
5.20168750000E+05	1.184150E+01	-8.973605E+01
5.22037500000E+05	1.189732E+01	-8.970428E+01
5.23906250000E+05	1.191495E+01	-8.967705E+01
5.25775000000E+05	1.197391E+01	-8.969468E+01
5.27643750000E+05	1.200716E+01	-8.972715E+01
5.29512500000E+05	1.206904E+01	-8.957597E+01
5.31381250000E+05	1.209588E+01	-8.970592E+01
5.33250000000E+05	1.212867E+01	-8.966750E+01
5.35118750000E+05	1.220008E+01	-8.972431E+01
5.36987500000E+05	1.222707E+01	-8.971395E+01
5.38856250000E+05	1.226165E+01	-8.973367E+01
5.40725000000E+05	1.230749E+01	-8.971022E+01
5.42593750000E+05	1.234307E+01	-8.966460E+01
5.44462500000E+05	1.239281E+01	-8.972157E+01
5.46331250000E+05	1.243370E+01	-8.965340E+01
5.48200000000E+05	1.249059E+01	-8.968128E+01
5.50068750000E+05	1.254415E+01	-8.967140E+01
5.51937500000E+05	1.257253E+01	-8.973472E+01
5.53806250000E+05	1.261110E+01	-8.962766E+01
5.55675000000E+05	1.265536E+01	-8.966169E+01
5.57543750000E+05	1.269462E+01	-8.970425E+01
5.59412500000E+05	1.273355E+01	-8.970855E+01
5.61281250000E+05	1.277278E+01	-8.966634E+01
5.63150000000E+05	1.282666E+01	-8.972066E+01
5.65018750000E+05	1.287668E+01	-8.974770E+01
5.66887500000E+05	1.290040E+01	-8.967957E+01
5.68756250000E+05	1.296736E+01	-8.973915E+01
5.70625000000E+05	1.298272E+01	-8.974535E+01
5.72493750000E+05	1.303410E+01	-8.972516E+01
5.74362500000E+05	1.307742E+01	-8.974873E+01
5.76231250000E+05	1.312714E+01	-8.969345E+01
5.78100000000E+05	1.317152E+01	-8.963360E+01
5.79968750000E+05	1.320132E+01	-8.981085E+01
5.81837500000E+05	1.324179E+01	-8.976338E+01
5.83706250000E+05	1.329439E+01	-8.973952E+01
5.85575000000E+05	1.333800E+01	-8.974027E+01
5.87443750000E+05	1.337653E+01	-8.974790E+01
5.89312500000E+05	1.341709E+01	-8.970890E+01
5.91181250000E+05	1.345490E+01	-8.980813E+01
5.93050000000E+05	1.350562E+01	-8.971184E+01
5.94918750000E+05	1.354761E+01	-8.974726E+01
5.96787500000E+05	1.358532E+01	-8.972564E+01
5.98656250000E+05	1.362144E+01	-8.967935E+01
6.00525000000E+05	1.367958E+01	-8.974152E+01
6.02393750000E+05	1.371598E+01	-8.971552E+01
6.04262500000E+05	1.378464E+01	-8.968787E+01
6.06131250000E+05	1.378977E+01	-8.970372E+01
6.08000000000E+05	1.385718E+01	-8.973402E+01
6.09868750000E+05	1.387619E+01	-8.974720E+01
6.11737500000E+05	1.393311E+01	-8.972980E+01
6.13606250000E+05	1.398204E+01	-8.969025E+01
6.15475000000E+05	1.404219E+01	-8.970971E+01
6.17343750000E+05	1.406324E+01	-8.968128E+01
6.19212500000E+05	1.407620E+01	-8.974371E+01
6.21081250000E+05	1.413000E+01	-8.972462E+01
6.22950000000E+05	1.417822E+01	-8.978720E+01
6.24818750000E+05	1.422064E+01	-8.970451E+01
6.26687500000E+05	1.429456E+01	-8.970868E+01
6.28556250000E+05	1.432391E+01	-8.973079E+01
6.30425000000E+05	1.435993E+01	-8.977586E+01
6.32293750000E+05	1.440581E+01	-8.972327E+01
6.34162500000E+05	1.442654E+01	-8.978999E+01
6.36031250000E+05	1.446746E+01	-8.973107E+01
6.37900000000E+05	1.452263E+01	-8.974576E+01
6.39768750000E+05	1.455572E+01	-8.979314E+01
6.41637500000E+05	1.461856E+01	-8.980117E+01
6.43506250000E+05	1.463691E+01	-8.970267E+01
6.45375000000E+05	1.468940E+01	-8.976879E+01
6.47243750000E+05	1.473100E+01	-8.969604E+01
6.49112500000E+05	1.478159E+01	-8.973551E+01
6.50981250000E+05	1.481269E+01	-8.981042E+01
6.52850000000E+05	1.485148E+01	-8.973644E+01
6.54718750000E+05	1.488530E+01	-8.977708E+01
6.56587500000E+05	1.494208E+01	-8.977193E+01
6.58456250000E+05	1.498232E+01	-8.974908E+01
6.60325000000E+05	1.502469E+01	-8.975346E+01
6.62193750000E+05	1.506201E+01	-8.977472E+01
6.64062500000E+05	1.511400E+01	-8.970390E+01
6.65931250000E+05	1.516434E+01	-8.976846E+01
6.67800000000E+05	1.518609E+01	-8.975089E+01
