Timestamp,Atribration_id,dlc,data
1757524311.0092833,0x18820810,5,020a016f09
1757524311.0093691,0x18820810,3,070101
1757524311.0095003,0x18820810,8,102045204f464620
1757524311.009615,0x18820810,4,00202000
1757524311.0097268,0x18820810,5,0200007a20
1757524311.0098388,0x18820810,5,02010c3b09
1757524311.0099187,0x18820810,3,070101
1757524311.0100358,0x19000410,3,021fff
1757524311.010175,0x18820810,8,10506d702020302e
1757524311.0102842,0x18820810,4,00302500
1757524311.0104034,0x18820810,5,0200007a20
1757524311.010516,0x18820810,5,023e0c3b09
1757524311.010596,0x18820810,3,070101
1757524311.0107555,0x18820810,8,1074202020302e30
1757524311.0108683,0x18820810,4,00f84300
1757524311.0109806,0x18820810,5,0200007a20
1757524311.011094,0x18820810,5,0201163b09
1757524311.0111754,0x18820810,3,070101
1757524311.0112846,0x18820810,2,0d00
1757524311.0114255,0x18820810,8,1020506b20202020
1757524311.011544,0x18820810,5,0020312000
1757524311.0116239,0x18820810,2,0d01
1757524311.0117576,0x18820810,6,0a00003b0001
1757524311.0118883,0x18820810,6,0a0000000901
1757524311.012004,0x18820810,5,0200007a20
1757524311.0121138,0x18820810,3,070202
1757524311.0121937,0x18820810,3,101e00
1757524311.0123029,0x19000410,3,101fff
1757524311.0123847,0x19000410,3,071fff
1757524311.0130024,0x19000410,3,101fff
1757524311.0130825,0x19000410,3,021fff
1757524311.0131981,0x19000410,3,071fff
1757524311.0132782,0x19000410,3,021fff
1757524311.0156696,0x19000410,3,101fff
1757524311.016431,0x19000410,3,101fff
1757524311.0165162,0x19000410,3,021fff
1757524311.0166318,0x19000410,3,071fff
1757524311.0167134,0x19000410,3,021fff
1757524311.0190935,0x19000410,3,101fff
1757524311.0198503,0x19000410,3,101fff
1757524311.0199323,0x19000410,3,021fff
1757524311.020046,0x19000410,3,071fff
1757524311.0201304,0x19000410,3,0d1fff
1757524311.0202425,0x19000410,3,021fff
1757524311.0226068,0x19000410,3,101fff
1757524311.0236275,0x19000410,3,101fff
1757524311.0237117,0x19000410,3,0d1fff
1757524311.0252354,0x19000410,3,0a1fff
1757524311.0255222,0x19000410,3,0a1fff
1757524311.025609,0x19000410,3,021fff
1757524311.02572,0x19000410,3,071fff
1757524311.0260212,0x19000410,3,101fff
1757524311.2181444,0x18820810,5,020a016f09
1757524311.2182288,0x18820810,3,070101
1757524311.2183738,0x18820810,8,102045204f464620
1757524311.2184854,0x18820810,4,00202000
1757524311.2185977,0x18820810,5,0200007a20
1757524311.2187123,0x18820810,5,02010c3b09
1757524311.2187936,0x18820810,3,070101
1757524311.2189074,0x19000410,3,021fff
1757524311.219052,0x18820810,8,10506d702020302e
1757524311.2191637,0x18820810,4,00302500
1757524311.2192752,0x18820810,5,0200007a20
1757524311.2193892,0x18820810,5,023e0c3b09
1757524311.2194703,0x18820810,3,070101
1757524311.2196312,0x18820810,8,1074202020302e30
1757524311.2197437,0x18820810,4,00f84300
1757524311.2198575,0x18820810,5,0200007a20
1757524311.2199688,0x18820810,5,0201163b09
1757524311.2200499,0x18820810,3,070101
1757524311.2201598,0x18820810,2,0d00
1757524311.2203007,0x18820810,8,1020506b20202020
1757524311.220418,0x18820810,5,0020312000
1757524311.2204988,0x18820810,2,0d01
1757524311.2206323,0x18820810,6,0a00003b0001
1757524311.2207615,0x18820810,6,0a0000000901
1757524311.2208784,0x18820810,5,0200007a20
1757524311.220989,0x18820810,3,070202
1757524311.22107,0x18820810,3,101e00
1757524311.2211795,0x19000410,3,071fff
1757524311.2212598,0x19000410,3,101fff
1757524311.2220032,0x19000410,3,101fff
1757524311.2220838,0x19000410,3,021fff
1757524311.222199,0x19000410,3,071fff
1757524311.22228,0x19000410,3,021fff
1757524311.2246711,0x19000410,3,101fff
1757524311.2254274,0x19000410,3,101fff
1757524311.2255385,0x19000410,3,021fff
1757524311.2256217,0x19000410,3,071fff
1757524311.225734,0x19000410,3,021fff
1757524311.2280939,0x19000410,3,101fff
1757524311.2288501,0x19000410,3,101fff
1757524311.2289307,0x19000410,3,021fff
1757524311.2290437,0x19000410,3,071fff
1757524311.2291253,0x19000410,3,0d1fff
1757524311.2292407,0x19000410,3,021fff
1757524311.2316089,0x19000410,3,101fff
1757524311.2326279,0x19000410,3,101fff
1757524311.232708,0x19000410,3,0d1fff
1757524311.234234,0x19000410,3,0a1fff
1757524311.2345243,0x19000410,3,0a1fff
1757524311.2346048,0x19000410,3,021fff
1757524311.234717,0x19000410,3,071fff
1757524311.2350214,0x19000410,3,101fff
1757524311.3368456,0x18820810,1,12
1757524311.3371491,0x19000410,3,121fff
1757524311.427022,0x18820810,5,020a016f09
1757524311.4271083,0x18820810,3,070101
1757524311.4272482,0x18820810,8,102045204f464620
1757524311.42736,0x18820810,4,00202000
1757524311.4274704,0x18820810,5,0200007a20
1757524311.4275842,0x18820810,5,02010c3b09
1757524311.4276931,0x18820810,3,070101
1757524311.427774,0x19000410,3,021fff
1757524311.4279237,0x18820810,8,10506d702020302e
1757524311.4280314,0x18820810,4,00302500
1757524311.428151,0x18820810,5,0200007a20
1757524311.428264,0x18820810,5,023e0c3b09
1757524311.4283729,0x18820810,3,070101
1757524311.4285042,0x18820810,8,1074202020302e30
1757524311.4286134,0x18820810,4,00f84300
1757524311.4287293,0x18820810,5,0200007a20
1757524311.4288425,0x18820810,5,0201163b09
1757524311.4289515,0x18820810,3,070101
1757524311.4290311,0x18820810,2,0d00
1757524311.429174,0x18820810,8,1020506b20202020
1757524311.4292924,0x18820810,5,0020312000
1757524311.429375,0x18820810,2,0d01
1757524311.429506,0x18820810,6,0a00003b0001
1757524311.4296367,0x18820810,6,0a0000000901
1757524311.4297519,0x18820810,5,0200007a20
1757524311.429862,0x18820810,3,070202
1757524311.4299426,0x18820810,3,101e00
