Timestamp,Atribration_id,dlc,data
1757527797.1173327,0x18820810,3,07020f
1757527797.1174507,0x18820810,8,102020436f6e7469
1757527797.1175795,0x18820810,7,006e756f757300
1757527797.1176596,0x18820810,3,070202
1757527797.117781,0x18820810,3,101e00
1757527797.1178653,0x19000410,3,071fff
1757527797.1206317,0x19000410,3,101fff
1757527797.1226625,0x19000410,3,101fff
1757527797.1227465,0x19000410,3,071fff
1757527797.1231434,0x19000410,3,101fff
1757527797.326194,0x18820810,3,07020f
1757527797.3263295,0x18820810,8,102020436f6e7469
1757527797.3264587,0x18820810,7,006e756f757300
1757527797.3265483,0x18820810,3,070202
1757527797.3266776,0x18820810,3,101e00
1757527797.3267686,0x19000410,3,071fff
1757527797.3293943,0x19000410,3,101fff
1757527797.3314257,0x19000410,3,101fff
1757527797.3315094,0x19000410,3,071fff
1757527797.3319025,0x19000410,3,101fff
1757527797.4449456,0x18820810,1,12
1757527797.445189,0x19000410,3,121fff
1757527797.5350692,0x18820810,3,07020f
1757527797.5352004,0x18820810,8,102020436f6e7469
1757527797.5353315,0x18820810,7,006e756f757300
1757527797.5354176,0x18820810,3,070202
1757527797.535541,0x18820810,3,101e00
1757527797.5356293,0x19000410,3,071fff
1757527797.5379074,0x19000410,3,101fff
1757527797.5397394,0x19000410,3,101fff
1757527797.5398228,0x19000410,3,071fff
1757527797.5401917,0x19000410,3,101fff
1757527797.7439475,0x18820810,3,07020f
1757527797.7440705,0x18820810,8,102020436f6e7469
1757527797.744205,0x18820810,7,006e756f757300
1757527797.7442954,0x18820810,3,070202
1757527797.7444153,0x18820810,3,101e00
1757527797.7445085,0x19000410,3,071fff
1757527797.7468777,0x19000410,3,101fff
1757527797.7487078,0x19000410,3,101fff
1757527797.7487915,0x19000410,3,071fff
1757527797.749152,0x19000410,3,101fff
1757527797.9527848,0x18820810,1,12
1757527797.9528692,0x18820810,3,07020f
1757527797.9530249,0x18820810,8,102020436f6e7469
1757527797.9531467,0x18820810,7,006e756f757300
1757527797.9532332,0x18820810,3,070202
1757527797.9533637,0x18820810,3,101e00
1757527797.9534488,0x19000410,3,121fff
1757527797.9535365,0x19000410,3,071fff
1757527797.95618,0x19000410,3,101fff
1757527797.9582112,0x19000410,3,101fff
1757527797.958297,0x19000410,3,071fff
1757527797.9586954,0x19000410,3,101fff
1757527798.1616917,0x18820810,3,07020f
1757527798.1618185,0x18820810,8,102020436f6e7469
1757527798.1619637,0x18820810,7,006e756f757300
1757527798.1620505,0x18820810,3,070202
1757527798.1621356,0x18820810,3,101e00
1757527798.1622584,0x19000410,3,071fff
1757527798.1649387,0x19000410,3,101fff
1757527798.1669705,0x19000410,3,101fff
1757527798.1670544,0x19000410,3,071fff
1757527798.167447,0x19000410,3,101fff
1757527798.3705652,0x18820810,3,07020f
1757527798.3706965,0x18820810,8,102020436f6e7469
1757527798.370833,0x18820810,7,006e756f757300
1757527798.3709185,0x18820810,3,070202
1757527798.371035,0x18820810,3,101e00
1757527798.3711216,0x19000410,3,071fff
1757527798.3733807,0x19000410,3,101fff
1757527798.3752117,0x19000410,3,101fff
1757527798.3752942,0x19000410,3,071fff
1757527798.3756623,0x19000410,3,101fff
1757527798.4565375,0x18820810,1,12
1757527798.4568648,0x19000410,3,121fff
1757527798.5794387,0x18820810,3,07020f
1757527798.579573,0x18820810,8,102020436f6e7469
1757527798.5797143,0x18820810,7,006e756f757300
1757527798.5797997,0x18820810,3,070202
1757527798.5798874,0x18820810,3,101e00
1757527798.5800095,0x19000410,3,071fff
1757527798.5824068,0x19000410,3,101fff
1757527798.584238,0x19000410,3,101fff
1757527798.584321,0x19000410,3,071fff
1757527798.584684,0x19000410,3,101fff
1757527798.7883158,0x18820810,3,07020f
1757527798.7884405,0x18820810,8,102020436f6e7469
1757527798.788583,0x18820810,7,006e756f757300
1757527798.7886703,0x18820810,3,070202
1757527798.7887566,0x18820810,3,101e00
1757527798.788878,0x19000410,3,071fff
1757527798.7916467,0x19000410,3,101fff
1757527798.7936733,0x19000410,3,101fff
1757527798.7937582,0x19000410,3,071fff
1757527798.7941508,0x19000410,3,101fff
1757527798.964387,0x18820810,1,12
1757527798.964631,0x19000410,3,121fff
1757527798.9971852,0x18820810,3,07020f
1757527798.9973204,0x18820810,8,102020436f6e7469
1757527798.9974546,0x18820810,7,006e756f757300
1757527798.997537,0x18820810,3,070202
1757527798.9976501,0x18820810,3,101e00
1757527798.9977336,0x19000410,3,071fff
1757527799.0004668,0x19000410,3,101fff
1757527799.0024972,0x19000410,3,101fff
1757527799.00258,0x19000410,3,071fff
1757527799.002977,0x19000410,3,101fff
1757527799.2060647,0x18820810,3,07020f
1757527799.206191,0x18820810,8,102020436f6e7469
1757527799.2063215,0x18820810,7,006e756f757300
1757527799.2064116,0x18820810,3,070202
1757527799.2065291,0x18820810,3,101e00
1757527799.2066145,0x19000410,3,071fff
1757527799.2089193,0x19000410,3,101fff
1757527799.2107532,0x19000410,3,101fff
1757527799.2108345,0x19000410,3,071fff
1757527799.2112055,0x19000410,3,101fff
1757527799.4149342,0x18820810,3,07020f
1757527799.4150667,0x18820810,8,102020436f6e7469
1757527799.4152002,0x18820810,7,006e756f757300
1757527799.4152846,0x18820810,3,070202
1757527799.4153943,0x18820810,3,101e00
1757527799.4154773,0x19000410,3,071fff
1757527799.4178917,0x19000410,3,101fff
1757527799.4197228,0x19000410,3,101fff
1757527799.419805,0x19000410,3,071fff
1757527799.4201756,0x19000410,3,101fff
1757527799.4722385,0x18820810,1,12
1757527799.4724145,0x19000410,3,121fff
1757527799.623809,0x18820810,3,07020f
1757527799.6239376,0x18820810,8,102020436f6e7469
1757527799.6240697,0x18820810,7,006e756f757300
1757527799.624151,0x18820810,3,070202
1757527799.6242657,0x18820810,3,101e00
1757527799.6243508,0x19000410,3,071fff
1757527799.627202,0x19000410,3,101fff
1757527799.6292286,0x19000410,3,101fff
1757527799.629309,0x19000410,3,071fff
1757527799.6297085,0x19000410,3,101fff
1757527799.8326917,0x18820810,3,07020f
1757527799.832811,0x18820810,8,102020436f6e7469
1757527799.8329487,0x18820810,7,006e756f757300
1757527799.8330367,0x18820810,3,070202
1757527799.8331563,0x18820810,3,101e00
1757527799.8332427,0x19000410,3,071fff
1757527799.8359559,0x19000410,3,101fff
1757527799.8379836,0x19000410,3,101fff
1757527799.8380687,0x19000410,3,071fff
1757527799.838467,0x19000410,3,101fff
1757527799.9800887,0x18820810,1,12
1757527799.9803715,0x19000410,3,121fff
1757527800.0415561,0x18820810,3,07020f
1757527800.0416873,0x18820810,8,102020436f6e7469
1757527800.0418267,0x18820810,7,006e756f757300
1757527800.0419123,0x18820810,3,070202
1757527800.0419993,0x18820810,3,101e00
1757527800.042117,0x19000410,3,071fff
1757527800.0444648,0x19000410,3,101fff
1757527800.0462935,0x19000410,3,101fff
1757527800.0463784,0x19000410,3,071fff
1757527800.0467412,0x19000410,3,101fff
1757527800.2504332,0x18820810,3,07020f
1757527800.2505631,0x18820810,8,102020436f6e7469
1757527800.2507017,0x18820810,7,006e756f757300
1757527800.2507877,0x18820810,3,070202
1757527800.2508814,0x18820810,3,101e00
1757527800.2510004,0x19000410,3,071fff
1757527800.2532248,0x19000410,3,101fff
1757527800.2550573,0x19000410,3,101fff
1757527800.2551441,0x19000410,3,071fff
1757527800.2555027,0x19000410,3,101fff
1757527800.4593062,0x18820810,3,07020f
1757527800.459435,0x18820810,8,102020436f6e7469
1757527800.4595728,0x18820810,7,006e756f757300
1757527800.4596608,0x18820810,3,070202
1757527800.4597483,0x18820810,3,101e00
1757527800.4598708,0x19000410,3,071fff
1757527800.462672,0x19000410,3,101fff
1757527800.4647024,0x19000410,3,101fff
1757527800.4647884,0x19000410,3,071fff
1757527800.4651804,0x19000410,3,101fff
1757527800.4879382,0x18820810,1,12
1757527800.4882827,0x19000410,3,121fff
1757527800.6681888,0x18820810,3,07020f
1757527800.6683073,0x18820810,8,102020436f6e7469
1757527800.6684463,0x18820810,7,006e756f757300
1757527800.6685352,0x18820810,3,070202
1757527800.6686223,0x18820810,3,101e00
1757527800.668743,0x19000410,3,071fff
1757527800.6715,0x19000410,3,101fff
1757527800.6735294,0x19000410,3,101fff
1757527800.673613,0x19000410,3,071fff
1757527800.6740117,0x19000410,3,101fff
1757527800.8770592,0x18820810,3,07020f
1757527800.8771815,0x18820810,8,102020436f6e7469
1757527800.8773205,0x18820810,7,006e756f757300
1757527800.8774056,0x18820810,3,070202
1757527800.8775225,0x18820810,3,101e00
1757527800.8776062,0x19000410,3,071fff
1757527800.8799582,0x19000410,3,101fff
1757527800.8817863,0x19000410,3,101fff
1757527800.881868,0x19000410,3,071fff
1757527800.8822389,0x19000410,3,101fff
1757527800.9957933,0x18820810,1,12
1757527800.9960551,0x19000410,3,121fff
