Timestamp,Arbitration_id,dlc,data
1757973961.4751825,0x18820810,1,12
1757973961.9789312,0x18820810,1,12
1757973962.4826887,0x18820810,1,12
1757973962.9864426,0x18820810,1,12
1757973963.4901986,0x18820810,1,12
1757973963.9939508,0x18820810,1,12
1757973964.497707,0x18820810,1,12
1757973965.0014596,0x18820810,1,12
1757973965.5052154,0x18820810,1,12
1757973966.0089676,0x18820810,1,12
1757973966.5127375,0x18820810,1,12
1757973967.0164907,0x18820810,1,12
1757973967.520245,0x18820810,1,12
1757973968.0240014,0x18820810,1,12
1757973968.5277588,0x18820810,1,12
1757973969.0315125,0x18820810,1,12
1757973969.5352714,0x18820810,1,12
1757973969.5496223,0x19000410,3,121fff
1757973969.5885625,0x18820810,5,020a016f09
1757973969.5886545,0x18820810,3,070101
1757973969.5887904,0x18820810,8,102045204f464620
1757973969.5888796,0x18820810,4,00202000
1757973969.5890179,0x18820810,5,0200007a20
1757973969.58914,0x18820810,5,02010c3b09
1757973969.58923,0x18820810,3,070101
1757973969.5893188,0x19000410,3,021fff
1757973969.5894692,0x18820810,8,10506d702020302e
1757973969.589559,0x18820810,4,00302500
1757973969.5896947,0x18820810,5,0200007a20
1757973969.5898197,0x18820810,5,023e0c3b09
1757973969.5899107,0x18820810,3,070101
1757973969.5900524,0x18820810,8,1074202020302e30
1757973969.5901444,0x18820810,4,00f84300
1757973969.590275,0x18820810,5,0200007a20
1757973969.5904005,0x18820810,5,0201163b09
1757973969.5904891,0x18820810,3,070101
1757973969.5905783,0x18820810,2,0d00
1757973969.590723,0x18820810,8,1020506b20202020
1757973969.5908449,0x18820810,5,0020312000
1757973969.5909352,0x18820810,2,0d01
1757973969.5910604,0x18820810,6,0a00003b0001
1757973969.5911868,0x18820810,6,0a0000000901
1757973969.591311,0x18820810,5,0200007a20
1757973969.5914004,0x18820810,3,070202
1757973969.5914893,0x18820810,3,101e00
1757973969.591577,0x19000410,3,071fff
1757973969.591699,0x19000410,3,101fff
1757973969.5924125,0x19000410,3,101fff
1757973969.5925007,0x19000410,3,021fff
1757973969.592587,0x19000410,3,071fff
1757973969.5927083,0x19000410,3,021fff
1757973969.595085,0x19000410,3,101fff
1757973969.5958416,0x19000410,3,101fff
1757973969.5959356,0x19000410,3,021fff
1757973969.5960312,0x19000410,3,071fff
1757973969.5961235,0x19000410,3,021fff
1757973969.5985093,0x19000410,3,101fff
1757973969.5992694,0x19000410,3,101fff
1757973969.599363,0x19000410,3,021fff
1757973969.5994592,0x19000410,3,071fff
1757973969.5995648,0x19000410,3,0d1fff
1757973969.5996637,0x19000410,3,021fff
1757973969.602018,0x19000410,3,101fff
1757973969.6030436,0x19000410,3,101fff
