Device: UCP        RS232-COM4  Date: 2/8/2024
Name;ID;Reg ID;Menu;Type;User rights;Nonvolatile;Min value;Max value;Short name;Print format;Name;Value
UCP     ;$4;$FF;$0;;;;;;;;;
UCP     ;$4;$9;$F;u32;ArUrSr;;0;4294967295;Version;%06u;Firmware UCPv3;221014
NL30x   ;$8;$FF;$0;;;;;;;;;
NL30x   ;$8;$10;$0;u8;AUS;NV;0;2;State;[SLEEP,STOP,ON,FAULT];State;ON
NL30x   ;$8;$11;$1;u8;AUS;NV;0;2;Energy;[OFF,Adjustment,Max];Output level;Max
NL30x   ;$8;$28;$1;u16;AUS;NV;0;1000;Atten;%.1f%;Attenuator;100.0
NL30x   ;$8;$F;$1;u8;A;;0;1;CanOutputEnable;[OFF,ON];Output enable;ON
NL30x   ;$8;$18;$1;u8;AS;;0;2;BatchM;[Continuous,Burst,Trigger];Continuous / Burst mode / Trigger burst;Continuous
NL30x   ;$8;$19;$1;u16;AS;;1;30000;BatchC;%u;Burst length, pulses;1
NL30x   ;$8;$2B;$1;u8;ArUrSr;;0;1;pedal;[SHORT,OPEN];External switch state;OPEN
NL30x   ;$8;$FF;$10;;;;;;;;Synchronization;
NL30x   ;$8;$13;$11;u8;AUS;NV;0;1;SyncMode;[INTERNAL,EXTERNAL];Sync mode;INTERNAL
NL30x   ;$8;$16;$11;s32;AUS;NV;-64000;64000;SyncOut;%d;SyncOut delay;-1
NL30x   ;$8;$1A;$11;u8;AUS;NV;1;99;FDivider;%u;Divider, every Nth pulse;1
NL30x   ;$8;$FF;$20;;;;;;;;PS5062 controls;
NL30x   ;$8;$22;$21;u16;ArUrSr;;0;1000;Pump;%.1f%;Pump voltage;92.4
NL30x   ;$8;$23;$21;u16;ArUrSr;;0;500;Temp;%.1fC;Read cooling temperature;24.8
NL30x   ;$8;$20;$21;u16;AS;NV;100;500;CoolT;%.1fC;Set cooling temperature;25.0
NL30x   ;$8;$26;$21;u16;ArSr;;0;1023;I12;%u;12V supply current;10
NL30x   ;$8;$24;$21;u16;ArSr;;0;500;V27;%.1fV;Control unit supply voltage;11.8
NL30x   ;$8;$21;$21;u32;AUrS;NV;0;4294967295;PulseCNT;%u;Lamp pulse counter;398951
NL30x   ;$8;$FF;$30;;;;;;;;Setup;
NL30x   ;$8;$15;$31;u8;AS;NV;1;50;RepRate;%uHz;Repetition Rate;1
NL30x   ;$8;$1D;$31;u8;ASr;NV;0;50;RepRateLo;%uHz;Repetition Rate low limit;1
NL30x   ;$8;$1E;$31;u8;ASr;NV;1;50;RepRateHi;%uHz;Repetition Rate high limit;5
NL30x   ;$8;$12;$31;u16;AS;NV;800;8000;MinEO;%u;Minimum EO delay;800
NL30x   ;$8;$1B;$31;u16;AS;NV;800;8000;SYNCEO1;%u;Best EO delay;2000
NL30x   ;$8;$1C;$31;u16;AS;NV;800;8000;SYNCEO2;%u;Adjustment EO delay;4000
NL30x   ;$8;$27;$31;u8;AS;NV;0;120;LampLensT;%us;Thermolens time;5
NL30x   ;$8;$1F;$31;u8;A;NV;0;3;Options;[MR9,PS5062,MR9ATTN,PS5062ATTN];Options;PS5062
NL30x   ;$8;$25;$31;u8;AUrS;;0;1;VT1;[OFF,ON];Power electronics on/off;ON
NL30x   ;$8;$29;$31;s32;AS;NV;-2147483648;2147483647;Atten100Pos;%d;Attenuator max throughput position;-1
NL30x   ;$8;$2A;$31;s32;AS;NV;-2147483648;2147483647;AttenStepsRev;%d;Attenuator steps per 360degs;-1
NL30x   ;$8;$2C;$31;u8;AUS;NV;0;4;pedalmode;[Disabled,OPEN-AllowOut,SHORT-AllowOut,OPEN-Burst,SHORT-Burst];External switch function;Disabled
NL30x   ;$8;$17;$31;u8;AS;;0;1;Safety;[Normal,Service];Safety mode;Normal
NL30x   ;$8;$9;$F;u32;ArUrSr;;0;4294967295;Version;%06u;Firmware NL30X;210210
HV40W   ;$28;$FF;$0;;;;;;;;;
HV40W   ;$28;$10;$1;u8;AUS;NV;0;1;Pwr;[OFF,ON];Power switch;ON
HV40W   ;$28;$11;$2;u16;AUrS;NV;0;5000;SHV;%uV;Set HV voltage;4100
HV40W   ;$28;$12;$3;u16;ArUrSr;;0;5000;HV;%uV;HV voltage;4099
HV40W   ;$28;$13;$4;u16;ArUrSr;;0;4092;IHV;%.2fmA;HV current;0.14
HV40W   ;$28;$15;$6;u8;ArUrSr;;0;1;Enab;[OFF,ON];HV supply enabled;ON
HV40W   ;$28;$16;$7;u8;ArUrSr;;0;2;OK;[OFF,OK,BURST];Power circuit status;OK
HV40W   ;$28;$17;$8;u8;ArUrSr;;0;1;CL;[Current Limit,OK];Current limit status;OK
HV40W   ;$28;$FF;$10;;;;;;;;Calibrate;
HV40W   ;$28;$18;$11;u16;ASr;NV;5;1200;IHL;%.1fmA;Current limit;2.0
HV40W   ;$28;$19;$12;s16;ASr;NV;-32767;32767;CHV;%d;Calibrate HV voltage;-5300
HV40W   ;$28;$1A;$13;s16;ASr;NV;-32767;32767;CDHV;%d;Calibrate display HV voltage;5900
HV40W   ;$28;$14;$14;u16;ASr;NV;100;40000;Ki;%.1fV/A;Current sensor constant;369.9
HV40W   ;$28;$1C;$16;u16;ASr;NV;0;5000;SHVLim;%uV;High Voltage Limit;4400
HV40W   ;$28;$9;$F;u32;ArUrSr;;0;4294967295;Version;%06u;Version HV40Wr30;230113
