Device: HNL274 Date: 2020-02-14
Name;ID;Reg ID;Menu;Type;User rights;Nonvolatile;Min value;Max value;Short name;Print format;Name;Value
UniLDM  ;$10;$FF;$0;;;;;;;;;
UniLDM  ;$10;$10;$1;u8;AUS;NV;0;1;State;[OFF,ON];Command;OFF
UniLDM  ;$10;$59;$1;u8;ArUrSr;;0;5;LDDStatus;[OFF,NO RTO,CMD OFF,START DLY,ON,FAULT];LDD Status;CMD OFF
UniLDM  ;$10;$58;$1;u8;AUrS;NV;0;2;TECCommand;[OFF,ON,Force ON];TEC Command;ON
UniLDM  ;$10;$5A;$1;u8;ArUrSr;;0;4;TECStatus;[OFF,CMD OFF,Not Stable,Stable,Fault];TEC Status;Not Stable
UniLDM  ;$10;$1B;$1;float;AUS;NV;0;1000;IUset;%fA;Iset;0
UniLDM  ;$10;$1D;$1;float;ArUrSr;;0;1000;IUdisp;%.2fA;Idisp;0.05
UniLDM  ;$10;$3D;$1;u16;ArUrSr;;0;4095;Vout1;%.2fV;Vout;0.00
UniLDM  ;$10;$40;$1;u16;ArUrSr;;0;4095;Vhpwr;%.2fV;Vpwr1;0.72
UniLDM  ;$10;$4F;$1;float;ArUrSr;;0;1;Tsense1;%.2fC;Tpp;27.41
UniLDM  ;$10;$51;$1;float;ArUrSr;;0;1;Tcursense;%.2fC;Tcursense;28.06
UniLDM  ;$10;$47;$1;float;ArUrSr;;0;1;Trtd1;%.2fC;Ttec1;23.19
UniLDM  ;$10;$5C;$1;u16;AUrS;NV;0;10000;TEC1Tset;%.2fC;Ttec1set;25.00
UniLDM  ;$10;$4A;$1;float;ArUrSr;;0;1;Trtd2;%.2fC;Ttec2;23.35
UniLDM  ;$10;$68;$1;u16;AUrS;NV;0;10000;TEC2Tset;%.2fC;Ttec2set;25.00
UniLDM  ;$10;$4D;$1;float;ArUrSr;;0;1;Trtd3;%.2fC;Thot;24.37
UniLDM  ;$10;$41;$1;s16;ArUrSr;;-4095;4095;Isense4f;%.2fA;Itec1;-0.71
UniLDM  ;$10;$42;$1;s16;ArUrSr;;-4095;4095;Isense5f;%.2fA;Itec2;-0.71
UniLDM  ;$10;$45;$1;u16;ArUrSr;;0;4095;Tj;%.1fC;Tjcpu;36.0
UniLDM  ;$10;$FF;$50;;;;;;;;Sync mode;
UniLDM  ;$10;$75;$51;u16;AUS;NV;0;2;SyncMode;[Int sync,Ext sync,Continuous];Sync mode;Ext sync
UniLDM  ;$10;$76;$51;u16;AUS;NV;1;50000;RepRate;%.1fHz;Repetition rate;1000.0
UniLDM  ;$10;$77;$51;u16;AUS;NV;1;50000;PW;%.1fus;Pulse width;200.0
UniLDM  ;$10;$78;$51;u16;AUS;NV;120;50000;SyncDly;%.1fus;Pulse delay;20.0
UniLDM  ;$10;$FF;$10;;;;;;;;Interlocks;
UniLDM  ;$10;$79;$A1;u8;AUrS;NV;0;2;Intl1S;[ON,Defeat,No error];Interlock1 on off;Defeat
UniLDM  ;$10;$7A;$A1;u8;ArUrSr;;0;2;Intl1D;[OK,NOT OK,Defeated];Interlock1 state;Defeated
UniLDM  ;$10;$7B;$A1;u8;AUrS;NV;0;2;Intl2S;[ON,Defeat,No error];Interlock2 on off;ON
UniLDM  ;$10;$7D;$A1;u32;AUS;NV;0;1000000;Intl2Fmin;%uHz;Interlock2 min. frequency;0
UniLDM  ;$10;$7C;$A1;u8;ArUrSr;;0;2;Intl2D;[OK,NOT OK,Defeated];Interlock2 state;NOT OK
UniLDM  ;$10;$7E;$A1;u32;ArUrSr;;0;1000000;Intl2F;%uHz;Interlock2 read frequency;4294967295
UniLDM  ;$10;$88;$A1;u8;AUrS;NV;0;1;ActiveRTO;[OFF,ON];Active RTO;ON
UniLDM  ;$10;$7F;$A1;u16;AUrS;NV;500;10000;Vpwr1min;%.2fV;Vpwr1 min;12.00
UniLDM  ;$10;$80;$A1;u16;AUrS;NV;500;11300;Vpwr1max;%.2fV;Vpwr1 max;30.00
UniLDM  ;$10;$81;$A1;u16;AUrS;NV;0;10000;Vpwr5min;%.2fV;Vpwr5 min;12.00
UniLDM  ;$10;$82;$A1;u16;AUrS;NV;0;11300;Vpwr5max;%.2fV;Vpwr5 max;30.00
UniLDM  ;$10;$84;$A1;u16;AUrS;NV;0;3100;Isense4max;%.2fA;Itec1 max;9.00
UniLDM  ;$10;$83;$A1;u16;AUrS;NV;0;3100;Isense5max;%.2fA;Itec2 max;9.00
UniLDM  ;$10;$85;$A1;u16;AUrS;NV;0;65535;IUdispmax;%.2fA;Iout max;110.00
UniLDM  ;$10;$86;$A1;u16;AUrS;NV;0;10000;Vout1max;%.2fV;Vout max;8.00
